sex,n,current_alcohol_users,proportion_current_alcohol_use,current_alcohol_non_users,percent_current_alcohol_use
Female,6425,2864,0.4457587548638132,3561,44.57587548638132
Male,6234,2853,0.45765158806544753,3381,45.765158806544754
